F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S  1000  1355  1353  0  80   0 - 147127 ep_pol tty2    00:02:04 Xorg
0 S  1000  1413  1353  0  80   0 - 162158 poll_s tty2    00:00:00 gnome-session-b
0 Z  1000  1501  1413  0  80   0 -     0 -      tty2     00:00:00 xbrlapi <defunct>
0 S  1000  1599  1413  0  80   0 - 774527 poll_s tty2    00:01:43 gnome-shell
0 S  1000  1789  1599  0  80   0 - 79726 poll_s tty2     00:00:00 ibus-daemon
0 S  1000  1794  1789  0  80   0 - 61094 poll_s tty2     00:00:00 ibus-dconf
0 S  1000  1795  1789  0  80   0 - 73895 poll_s tty2     00:00:00 ibus-extension-
0 S  1000  1797     1  0  80   0 - 54668 poll_s tty2     00:00:00 ibus-x11
0 S  1000  2059  1413  0  80   0 - 80690 poll_s tty2     00:00:00 gsd-smartcard
0 S  1000  2062  1413  0  80   0 - 91649 poll_s tty2     00:00:00 gsd-keyboard
0 S  1000  2063  1413  0  80   0 - 177986 poll_s tty2    00:00:00 gsd-power
0 S  1000  2064  1413  0  80   0 - 60942 poll_s tty2     00:00:00 gsd-a11y-settin
0 S  1000  2065  1413  0  80   0 - 65407 poll_s tty2     00:00:00 gsd-sound
0 S  1000  2066  1413  0  80   0 - 262083 poll_s tty2    00:00:00 gsd-media-keys
0 S  1000  2067  1413  0  80   0 - 64433 poll_s tty2     00:00:00 gsd-print-notif
0 S  1000  2068  1413  0  80   0 - 54560 poll_s tty2     00:00:00 gsd-clipboard
0 S  1000  2069  1413  0  80   0 - 73614 poll_s tty2     00:00:00 gsd-wacom
0 S  1000  2072  1413  0  80   0 - 60943 poll_s tty2     00:00:00 gsd-mouse
0 S  1000  2073  1413  0  80   0 - 98315 poll_s tty2     00:00:00 gsd-rfkill
0 S  1000  2074  1413  0  80   0 - 130601 poll_s tty2    00:00:00 gsd-color
0 S  1000  2075  1413  0  80   0 - 91812 poll_s tty2     00:00:00 gsd-xsettings
0 S  1000  2078  1413  0  80   0 - 60849 poll_s tty2     00:00:00 gsd-screensaver
0 S  1000  2079  1413  0  80   0 - 80411 poll_s tty2     00:00:00 gsd-datetime
0 S  1000  2081  1413  0  80   0 - 100172 poll_s tty2    00:00:01 gsd-sharing
0 S  1000  2083  1413  0  80   0 - 79936 poll_s tty2     00:00:00 gsd-housekeepin
0 S  1000  2124     1  0  80   0 - 91762 poll_s tty2     00:00:00 gsd-printer
0 S  1000  2167  1413  0  99   - - 147028 poll_s tty2    00:00:00 tracker-miner-a
0 S  1000  2169  1413  0  80   0 - 57762 poll_s tty2     00:00:00 gsd-disk-utilit
0 S  1000  2172  1413  0  99  19 - 148672 poll_s tty2    00:00:07 tracker-miner-f
0 S  1000  2182  1413  0  80   0 - 182389 poll_s tty2    00:00:00 evolution-alarm
0 S  1000  2297  1789  0  80   0 - 42636 poll_s tty2     00:00:00 ibus-engine-sim
0 S  1000  3171  1413  0  80   0 - 120611 poll_s tty2    00:00:00 update-notifier
0 S  1000  7666  7530  0  80   0 -   613 do_wai pts/2    00:00:00 tee
0 R  1000  7667  3171 78  99  19 - 36010 -      tty2     00:00:02 apt-check
0 R  1000  7673  7666  0  80   0 -  4992 -      pts/2    00:00:00 ps
