F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S  1000  1307  1305  5  80   0 - 137865 ep_pol tty2    00:00:18 Xorg
0 S  1000  1469  1305  0  80   0 - 127341 poll_s tty2    00:00:00 gnome-session-b
0 Z  1000  1567  1469  0  80   0 -     0 -      tty2     00:00:00 xbrlapi <defunct>
0 S  1000  1625  1469  6  80   0 - 653920 poll_s tty2    00:00:23 gnome-shell
0 S  1000  1651  1625  0  80   0 - 79727 poll_s tty2     00:00:00 ibus-daemon
0 S  1000  1655  1651  0  80   0 - 61093 poll_s tty2     00:00:00 ibus-dconf
0 S  1000  1656  1651  0  80   0 - 73897 poll_s tty2     00:00:00 ibus-extension-
0 S  1000  1658     1  0  80   0 - 54664 poll_s tty2     00:00:00 ibus-x11
0 S  1000  1758  1469  0  80   0 - 80688 poll_s tty2     00:00:00 gsd-smartcard
0 S  1000  1759  1469  0  80   0 - 91655 poll_s tty2     00:00:00 gsd-keyboard
0 S  1000  1762  1469  0  80   0 - 92293 poll_s tty2     00:00:00 gsd-power
0 S  1000  1763  1469  0  80   0 - 60941 poll_s tty2     00:00:00 gsd-a11y-settin
0 S  1000  1764  1469  0  80   0 - 65407 poll_s tty2     00:00:00 gsd-sound
0 S  1000  1765  1469  0  80   0 - 196539 poll_s tty2    00:00:00 gsd-media-keys
0 S  1000  1766  1469  0  80   0 - 64403 poll_s tty2     00:00:00 gsd-print-notif
0 S  1000  1767  1469  0  80   0 - 54573 poll_s tty2     00:00:00 gsd-clipboard
0 S  1000  1768  1469  0  80   0 - 73586 poll_s tty2     00:00:00 gsd-wacom
0 S  1000  1771  1469  0  80   0 - 60942 poll_s tty2     00:00:00 gsd-mouse
0 S  1000  1772  1469  0  80   0 - 98315 poll_s tty2     00:00:00 gsd-rfkill
0 S  1000  1773  1469  0  80   0 - 130589 poll_s tty2    00:00:00 gsd-color
0 S  1000  1774  1469  0  80   0 - 91787 poll_s tty2     00:00:00 gsd-xsettings
0 S  1000  1777  1469  0  80   0 - 60849 poll_s tty2     00:00:00 gsd-screensaver
0 S  1000  1778  1469  0  80   0 - 80410 poll_s tty2     00:00:00 gsd-datetime
0 S  1000  1781  1469  0  80   0 - 100171 poll_s tty2    00:00:00 gsd-sharing
0 S  1000  1782  1469  0  80   0 - 79933 poll_s tty2     00:00:00 gsd-housekeepin
0 S  1000  1820     1  0  80   0 - 91762 poll_s tty2     00:00:00 gsd-printer
0 S  1000  1859  1469  0  99   - - 147030 poll_s tty2    00:00:00 tracker-miner-a
0 S  1000  1862  1469  0  80   0 - 57762 poll_s tty2     00:00:00 gsd-disk-utilit
0 S  1000  1870  1469  0  99  19 - 130239 poll_s tty2    00:00:00 tracker-miner-f
0 S  1000  1875  1469  0  80   0 - 182353 poll_s tty2    00:00:00 evolution-alarm
0 S  1000  1982  1651  0  80   0 - 42636 poll_s tty2     00:00:00 ibus-engine-sim
0 S  1000  2192  1469  0  80   0 - 110891 poll_s tty2    00:00:00 update-notifier
0 S  1000  2195  1469  1  80   0 - 261738 poll_s tty2    00:00:03 gnome-software
0 S  1000  3148  2942  0  80   0 -   613 do_wai pts/0    00:00:00 tee
0 R  1000  3151  3148  0  80   0 -  4992 -      pts/0    00:00:00 ps
